//キャラID,キャラ名,フリガナ,通り名,画像の先頭の名前,表情差分数,プロフィール表示,プロフィール情報0,プロフィール情報1,プロフィール情報2
6,戸塚 大宝,トツカ タイホウ,闇医者,taihou,1,1,「？？？」戸塚　大宝（トツカ　タイホウ）\n料理・・・？？？料理\n北棟3階の図書室で見つけた資料によると、\n前回の晩餐会の優秀者に選ばれた男,,
7,希崎　夫人,キザキ フジン,,fujin,0,1,料理界の巨匠であり、\n「晩餐会」の主催者でもある\n「希崎　夜道」シェフの妻。\n本人も有名な美食家。\n希崎シェフの死後は、彼女が年に一度\n「晩餐会」を開いている。,,
8,希崎　雪,キザキ ユキ,,yuki,1,1,希崎夫婦の娘\n何やら病気のようだが・・・,希崎夫人の日記によると\n食べ物にはこだわりがある様子。,人を・・・\n食べる・・・？
9,執事服の老人,,,shituji,0,1,晩餐会の出迎えをしてくれた執事の老人,何者かに殺されてしまった。,
10,吹き出物だらけの男,,,sakekage,0,1,地下室の牢獄にいた囚人,,
11,死んだらんまる,,,oRanmaru,0,0,,,
12,弱った真夏,,,wManaka,0,0,,,
13,狂人,,,kyoujin1,0,1,地下室にいた狂人病患者,,
14,狂人2,,,kyoujin2,0,0,,,
15,狂人3,,,kyoujin3,0,0,,,
16,狂人4,,,kyoujin4,0,0,,,
17,弱った暖暖,,,wDandan,0,0,,,
18,ナイフを持った夫人,,,knife,0,0,,,
19,隻眼（治療済み）蘭丸,,,sRanmaru,0,0,,,
20,死んだダイゴロー,,,dDaigoro,0,0,,,
21,ラスト夫人,,,Tfujin,0,0,,,
